,Unnamed: 0,Content ID,Reaction Type,Datetime,Content Type,Category,Sentiment,Score,Year,Month,Date,Day_of_Week,Part_of_Day
6171,6171,45752c15-a54c-4b0d-8fe3-f39c40f6c8d9,heart,2021-04-12 01:25:00,photo,education,positive,60,2021,April,12,Monday,Night
6172,6172,45752c15-a54c-4b0d-8fe3-f39c40f6c8d9,adore,2021-05-01 23:22:00,photo,education,positive,72,2021,May,1,Saturday,Night
6173,6173,45752c15-a54c-4b0d-8fe3-f39c40f6c8d9,adore,2021-02-02 08:55:00,photo,education,positive,72,2021,February,2,Tuesday,Morning
6174,6174,45752c15-a54c-4b0d-8fe3-f39c40f6c8d9,intrigued,2020-08-26 16:22:00,photo,education,positive,45,2020,August,26,Wednesday,Afternoon
6175,6175,45752c15-a54c-4b0d-8fe3-f39c40f6c8d9,love,2020-08-09 02:14:00,photo,education,positive,65,2020,August,9,Sunday,Night
6176,6176,45752c15-a54c-4b0d-8fe3-f39c40f6c8d9,hate,2020-06-20 03:13:00,photo,education,negative,5,2020,June,20,Saturday,Night
6177,6177,a3e93c2d-7fb4-4881-994d-ee20ad564924,worried,2020-08-29 09:58:00,video,public speaking,negative,12,2020,August,29,Saturday,Morning
6178,6178,a3e93c2d-7fb4-4881-994d-ee20ad564924,super love,2020-06-28 22:11:00,video,public speaking,positive,75,2020,June,28,Sunday,Night
6179,6179,a3e93c2d-7fb4-4881-994d-ee20ad564924,want,2021-01-30 01:59:00,video,public speaking,positive,70,2021,January,30,Saturday,Night
6180,6180,a3e93c2d-7fb4-4881-994d-ee20ad564924,adore,2021-04-17 18:03:00,video,public speaking,positive,72,2021,April,17,Saturday,Evening
6181,6181,a3e93c2d-7fb4-4881-994d-ee20ad564924,disgust,2020-07-29 17:26:00,video,public speaking,negative,0,2020,July,29,Wednesday,Evening
6182,6182,a3e93c2d-7fb4-4881-994d-ee20ad564924,like,2021-02-05 22:47:00,video,public speaking,positive,50,2021,February,5,Friday,Night
6183,6183,a3e93c2d-7fb4-4881-994d-ee20ad564924,indifferent,2020-08-28 08:55:00,video,public speaking,neutral,20,2020,August,28,Friday,Morning
6184,6184,a3e93c2d-7fb4-4881-994d-ee20ad564924,dislike,2020-06-30 19:49:00,video,public speaking,negative,10,2020,June,30,Tuesday,Evening
6185,6185,a3e93c2d-7fb4-4881-994d-ee20ad564924,scared,2021-01-20 01:17:00,video,public speaking,negative,15,2021,January,20,Wednesday,Night
6186,6186,a3e93c2d-7fb4-4881-994d-ee20ad564924,disgust,2021-01-18 20:01:00,video,public speaking,negative,0,2021,January,18,Monday,Evening
6187,6187,a3e93c2d-7fb4-4881-994d-ee20ad564924,super love,2021-03-24 09:04:00,video,public speaking,positive,75,2021,March,24,Wednesday,Morning
6188,6188,a3e93c2d-7fb4-4881-994d-ee20ad564924,like,2020-08-10 06:11:00,video,public speaking,positive,50,2020,August,10,Monday,Morning
6189,6189,a3e93c2d-7fb4-4881-994d-ee20ad564924,dislike,2020-09-22 18:12:00,video,public speaking,negative,10,2020,September,22,Tuesday,Evening
6190,6190,a3e93c2d-7fb4-4881-994d-ee20ad564924,cherish,2020-08-11 11:27:00,video,public speaking,positive,70,2020,August,11,Tuesday,Morning
6191,6191,a3e93c2d-7fb4-4881-994d-ee20ad564924,want,2020-07-02 19:35:00,video,public speaking,positive,70,2020,July,2,Thursday,Evening
6192,6192,a3e93c2d-7fb4-4881-994d-ee20ad564924,disgust,2020-08-12 22:24:00,video,public speaking,negative,0,2020,August,12,Wednesday,Night
6193,6193,a3e93c2d-7fb4-4881-994d-ee20ad564924,adore,2020-08-10 10:44:00,video,public speaking,positive,72,2020,August,10,Monday,Morning
6194,6194,a3e93c2d-7fb4-4881-994d-ee20ad564924,love,2020-09-22 15:02:00,video,public speaking,positive,65,2020,September,22,Tuesday,Afternoon
6195,6195,a3e93c2d-7fb4-4881-994d-ee20ad564924,heart,2021-02-03 08:49:00,video,public speaking,positive,60,2021,February,3,Wednesday,Morning
6196,6196,a3e93c2d-7fb4-4881-994d-ee20ad564924,hate,2021-02-14 04:07:00,video,public speaking,negative,5,2021,February,14,Sunday,Night
6197,6197,a3e93c2d-7fb4-4881-994d-ee20ad564924,indifferent,2021-01-05 20:43:00,video,public speaking,neutral,20,2021,January,5,Tuesday,Evening
6198,6198,a3e93c2d-7fb4-4881-994d-ee20ad564924,indifferent,2020-08-19 10:47:00,video,public speaking,neutral,20,2020,August,19,Wednesday,Morning
6199,6199,a3e93c2d-7fb4-4881-994d-ee20ad564924,super love,2021-02-18 08:33:00,video,public speaking,positive,75,2021,February,18,Thursday,Morning
6200,6200,a3e93c2d-7fb4-4881-994d-ee20ad564924,scared,2020-08-28 19:49:00,video,public speaking,negative,15,2020,August,28,Friday,Evening
6201,6201,a3e93c2d-7fb4-4881-994d-ee20ad564924,worried,2020-07-28 13:57:00,video,public speaking,negative,12,2020,July,28,Tuesday,Afternoon
6202,6202,a3e93c2d-7fb4-4881-994d-ee20ad564924,worried,2020-09-01 05:38:00,video,public speaking,negative,12,2020,September,1,Tuesday,Morning
6203,6203,a3e93c2d-7fb4-4881-994d-ee20ad564924,scared,2020-08-04 23:26:00,video,public speaking,negative,15,2020,August,4,Tuesday,Night
6204,6204,a3e93c2d-7fb4-4881-994d-ee20ad564924,peeking,2021-06-11 20:40:00,video,public speaking,neutral,35,2021,June,11,Friday,Evening
6205,6205,a3e93c2d-7fb4-4881-994d-ee20ad564924,dislike,2020-08-31 16:38:00,video,public speaking,negative,10,2020,August,31,Monday,Afternoon
6206,6206,a3e93c2d-7fb4-4881-994d-ee20ad564924,interested,2021-06-15 09:17:00,video,public speaking,positive,30,2021,June,15,Tuesday,Morning
6207,6207,a3e93c2d-7fb4-4881-994d-ee20ad564924,peeking,2020-12-26 08:59:00,video,public speaking,neutral,35,2020,December,26,Saturday,Morning
6208,6208,a3e93c2d-7fb4-4881-994d-ee20ad564924,like,2021-02-12 06:38:00,video,public speaking,positive,50,2021,February,12,Friday,Morning
6209,6209,a3e93c2d-7fb4-4881-994d-ee20ad564924,super love,2020-07-20 02:58:00,video,public speaking,positive,75,2020,July,20,Monday,Night
6210,6210,a3e93c2d-7fb4-4881-994d-ee20ad564924,like,2020-11-16 07:10:00,video,public speaking,positive,50,2020,November,16,Monday,Morning
6211,6211,a3e93c2d-7fb4-4881-994d-ee20ad564924,super love,2020-07-16 23:06:00,video,public speaking,positive,75,2020,July,16,Thursday,Night
6212,6212,a3e93c2d-7fb4-4881-994d-ee20ad564924,heart,2020-11-30 07:14:00,video,public speaking,positive,60,2020,November,30,Monday,Morning
6213,6213,a3e93c2d-7fb4-4881-994d-ee20ad564924,peeking,2020-07-10 01:33:00,video,public speaking,neutral,35,2020,July,10,Friday,Night
6214,6214,a3e93c2d-7fb4-4881-994d-ee20ad564924,dislike,2020-11-13 16:29:00,video,public speaking,negative,10,2020,November,13,Friday,Afternoon
6215,6215,a3e93c2d-7fb4-4881-994d-ee20ad564924,scared,2021-03-20 21:28:00,video,public speaking,negative,15,2021,March,20,Saturday,Night
6216,6216,a3e93c2d-7fb4-4881-994d-ee20ad564924,hate,2020-11-27 13:56:00,video,public speaking,negative,5,2020,November,27,Friday,Afternoon
6217,6217,a3e93c2d-7fb4-4881-994d-ee20ad564924,heart,2020-07-26 10:13:00,video,public speaking,positive,60,2020,July,26,Sunday,Morning
6218,6218,a3e93c2d-7fb4-4881-994d-ee20ad564924,super love,2021-05-21 07:44:00,video,public speaking,positive,75,2021,May,21,Friday,Morning
6219,6219,a3e93c2d-7fb4-4881-994d-ee20ad564924,hate,2020-11-18 17:18:00,video,public speaking,negative,5,2020,November,18,Wednesday,Evening
6220,6220,a3e93c2d-7fb4-4881-994d-ee20ad564924,indifferent,2021-05-25 15:02:00,video,public speaking,neutral,20,2021,May,25,Tuesday,Afternoon
6221,6221,a3e93c2d-7fb4-4881-994d-ee20ad564924,hate,2021-03-24 12:18:00,video,public speaking,negative,5,2021,March,24,Wednesday,Afternoon
6222,6222,5b379d75-649b-426f-b420-4e0b6e4a0e3d,cherish,2021-04-19 18:48:00,video,soccer,positive,70,2021,April,19,Monday,Evening
6223,6223,5b379d75-649b-426f-b420-4e0b6e4a0e3d,cherish,2021-02-08 11:34:00,video,soccer,positive,70,2021,February,8,Monday,Morning
6224,6224,5b379d75-649b-426f-b420-4e0b6e4a0e3d,want,2020-06-26 15:12:00,video,soccer,positive,70,2020,June,26,Friday,Afternoon
6225,6225,5b379d75-649b-426f-b420-4e0b6e4a0e3d,worried,2021-04-06 01:53:00,video,soccer,negative,12,2021,April,6,Tuesday,Night
6226,6226,5b379d75-649b-426f-b420-4e0b6e4a0e3d,indifferent,2020-09-15 00:34:00,video,soccer,neutral,20,2020,September,15,Tuesday,Night
6227,6227,5b379d75-649b-426f-b420-4e0b6e4a0e3d,hate,2020-07-13 08:29:00,video,soccer,negative,5,2020,July,13,Monday,Morning
6228,6228,5b379d75-649b-426f-b420-4e0b6e4a0e3d,interested,2020-12-31 05:21:00,video,soccer,positive,30,2020,December,31,Thursday,Morning
6229,6229,5b379d75-649b-426f-b420-4e0b6e4a0e3d,worried,2020-11-27 00:51:00,video,soccer,negative,12,2020,November,27,Friday,Night
6230,6230,5b379d75-649b-426f-b420-4e0b6e4a0e3d,indifferent,2021-04-15 01:34:00,video,soccer,neutral,20,2021,April,15,Thursday,Night
6231,6231,5b379d75-649b-426f-b420-4e0b6e4a0e3d,cherish,2020-07-09 08:14:00,video,soccer,positive,70,2020,July,9,Thursday,Morning
6232,6232,5b379d75-649b-426f-b420-4e0b6e4a0e3d,heart,2020-12-03 21:13:00,video,soccer,positive,60,2020,December,3,Thursday,Night
6233,6233,5b379d75-649b-426f-b420-4e0b6e4a0e3d,interested,2021-05-03 06:28:00,video,soccer,positive,30,2021,May,3,Monday,Morning
6234,6234,5b379d75-649b-426f-b420-4e0b6e4a0e3d,want,2021-04-03 07:20:00,video,soccer,positive,70,2021,April,3,Saturday,Morning
6235,6235,5b379d75-649b-426f-b420-4e0b6e4a0e3d,intrigued,2020-09-09 12:30:00,video,soccer,positive,45,2020,September,9,Wednesday,Afternoon
6236,6236,5b379d75-649b-426f-b420-4e0b6e4a0e3d,super love,2021-02-08 10:25:00,video,soccer,positive,75,2021,February,8,Monday,Morning
6237,6237,5b379d75-649b-426f-b420-4e0b6e4a0e3d,dislike,2020-11-30 17:02:00,video,soccer,negative,10,2020,November,30,Monday,Evening
6238,6238,5b379d75-649b-426f-b420-4e0b6e4a0e3d,interested,2021-01-26 05:27:00,video,soccer,positive,30,2021,January,26,Tuesday,Morning
6239,6239,5b379d75-649b-426f-b420-4e0b6e4a0e3d,disgust,2021-04-08 23:21:00,video,soccer,negative,0,2021,April,8,Thursday,Night
6240,6240,5b379d75-649b-426f-b420-4e0b6e4a0e3d,worried,2020-07-24 05:45:00,video,soccer,negative,12,2020,July,24,Friday,Morning
6241,6241,5b379d75-649b-426f-b420-4e0b6e4a0e3d,indifferent,2020-10-04 01:40:00,video,soccer,neutral,20,2020,October,4,Sunday,Night
6242,6242,5b379d75-649b-426f-b420-4e0b6e4a0e3d,worried,2020-11-24 23:55:00,video,soccer,negative,12,2020,November,24,Tuesday,Night
6243,6243,5b379d75-649b-426f-b420-4e0b6e4a0e3d,intrigued,2021-01-11 13:04:00,video,soccer,positive,45,2021,January,11,Monday,Afternoon
6244,6244,5b379d75-649b-426f-b420-4e0b6e4a0e3d,adore,2020-09-10 01:46:00,video,soccer,positive,72,2020,September,10,Thursday,Night
6245,6245,5b379d75-649b-426f-b420-4e0b6e4a0e3d,hate,2021-02-10 05:55:00,video,soccer,negative,5,2021,February,10,Wednesday,Morning
6246,6246,5b379d75-649b-426f-b420-4e0b6e4a0e3d,intrigued,2020-09-23 23:07:00,video,soccer,positive,45,2020,September,23,Wednesday,Night
6247,6247,5b379d75-649b-426f-b420-4e0b6e4a0e3d,super love,2021-04-17 05:57:00,video,soccer,positive,75,2021,April,17,Saturday,Morning
6248,6248,5b379d75-649b-426f-b420-4e0b6e4a0e3d,scared,2020-10-02 01:30:00,video,soccer,negative,15,2020,October,2,Friday,Night
6249,6249,5b379d75-649b-426f-b420-4e0b6e4a0e3d,dislike,2020-06-27 14:51:00,video,soccer,negative,10,2020,June,27,Saturday,Afternoon
6250,6250,5b379d75-649b-426f-b420-4e0b6e4a0e3d,like,2021-03-26 06:32:00,video,soccer,positive,50,2021,March,26,Friday,Morning
6251,6251,5b379d75-649b-426f-b420-4e0b6e4a0e3d,super love,2020-10-16 05:37:00,video,soccer,positive,75,2020,October,16,Friday,Morning
6252,6252,5b379d75-649b-426f-b420-4e0b6e4a0e3d,hate,2021-01-03 20:34:00,video,soccer,negative,5,2021,January,3,Sunday,Evening
6253,6253,5b379d75-649b-426f-b420-4e0b6e4a0e3d,indifferent,2020-09-25 11:30:00,video,soccer,neutral,20,2020,September,25,Friday,Morning
6254,6254,5b379d75-649b-426f-b420-4e0b6e4a0e3d,disgust,2020-10-20 21:42:00,video,soccer,negative,0,2020,October,20,Tuesday,Night
6255,6255,5b379d75-649b-426f-b420-4e0b6e4a0e3d,heart,2021-01-22 02:08:00,video,soccer,positive,60,2021,January,22,Friday,Night
6256,6256,5b379d75-649b-426f-b420-4e0b6e4a0e3d,interested,2021-03-03 08:22:00,video,soccer,positive,30,2021,March,3,Wednesday,Morning
6257,6257,5b379d75-649b-426f-b420-4e0b6e4a0e3d,super love,2021-03-16 00:46:00,video,soccer,positive,75,2021,March,16,Tuesday,Night
6258,6258,5b379d75-649b-426f-b420-4e0b6e4a0e3d,indifferent,2021-03-04 16:42:00,video,soccer,neutral,20,2021,March,4,Thursday,Afternoon
6259,6259,5b379d75-649b-426f-b420-4e0b6e4a0e3d,worried,2021-03-25 00:43:00,video,soccer,negative,12,2021,March,25,Thursday,Night
6260,6260,5b379d75-649b-426f-b420-4e0b6e4a0e3d,intrigued,2020-11-13 08:14:00,video,soccer,positive,45,2020,November,13,Friday,Morning
6261,6261,5b379d75-649b-426f-b420-4e0b6e4a0e3d,hate,2021-04-14 09:14:00,video,soccer,negative,5,2021,April,14,Wednesday,Morning
6262,6262,5b379d75-649b-426f-b420-4e0b6e4a0e3d,like,2020-12-12 12:05:00,video,soccer,positive,50,2020,December,12,Saturday,Afternoon
6263,6263,5b379d75-649b-426f-b420-4e0b6e4a0e3d,heart,2021-02-04 04:35:00,video,soccer,positive,60,2021,February,4,Thursday,Night
6264,6264,7fe36d94-8867-4719-9c62-60b077cf5973,dislike,2020-07-10 18:53:00,photo,travel,negative,10,2020,July,10,Friday,Evening
6265,6265,7fe36d94-8867-4719-9c62-60b077cf5973,love,2021-01-16 21:06:00,photo,travel,positive,65,2021,January,16,Saturday,Night
6266,6266,7fe36d94-8867-4719-9c62-60b077cf5973,like,2020-11-16 09:08:00,photo,travel,positive,50,2020,November,16,Monday,Morning
6267,6267,7fe36d94-8867-4719-9c62-60b077cf5973,indifferent,2020-10-20 13:32:00,photo,travel,neutral,20,2020,October,20,Tuesday,Afternoon
6268,6268,7fe36d94-8867-4719-9c62-60b077cf5973,worried,2021-02-24 08:51:00,photo,travel,negative,12,2021,February,24,Wednesday,Morning
6269,6269,7fe36d94-8867-4719-9c62-60b077cf5973,peeking,2020-08-28 21:16:00,photo,travel,neutral,35,2020,August,28,Friday,Night
6270,6270,7fe36d94-8867-4719-9c62-60b077cf5973,hate,2020-09-16 01:21:00,photo,travel,negative,5,2020,September,16,Wednesday,Night
6271,6271,7fe36d94-8867-4719-9c62-60b077cf5973,cherish,2021-01-23 15:59:00,photo,travel,positive,70,2021,January,23,Saturday,Afternoon
6272,6272,7fe36d94-8867-4719-9c62-60b077cf5973,cherish,2021-03-09 05:01:00,photo,travel,positive,70,2021,March,9,Tuesday,Morning
6273,6273,7fe36d94-8867-4719-9c62-60b077cf5973,love,2021-04-22 22:18:00,photo,travel,positive,65,2021,April,22,Thursday,Night
6274,6274,7fe36d94-8867-4719-9c62-60b077cf5973,peeking,2021-02-15 05:06:00,photo,travel,neutral,35,2021,February,15,Monday,Morning
6275,6275,7fe36d94-8867-4719-9c62-60b077cf5973,want,2021-05-31 23:20:00,photo,travel,positive,70,2021,May,31,Monday,Night
6276,6276,7fe36d94-8867-4719-9c62-60b077cf5973,adore,2020-10-07 22:55:00,photo,travel,positive,72,2020,October,7,Wednesday,Night
6277,6277,7fe36d94-8867-4719-9c62-60b077cf5973,heart,2021-01-15 03:11:00,photo,travel,positive,60,2021,January,15,Friday,Night
6278,6278,7fe36d94-8867-4719-9c62-60b077cf5973,want,2020-06-24 04:26:00,photo,travel,positive,70,2020,June,24,Wednesday,Night
6279,6279,7fe36d94-8867-4719-9c62-60b077cf5973,dislike,2021-03-14 17:04:00,photo,travel,negative,10,2021,March,14,Sunday,Evening
6280,6280,7fe36d94-8867-4719-9c62-60b077cf5973,peeking,2020-12-23 16:21:00,photo,travel,neutral,35,2020,December,23,Wednesday,Afternoon
6281,6281,7fe36d94-8867-4719-9c62-60b077cf5973,like,2020-07-29 10:21:00,photo,travel,positive,50,2020,July,29,Wednesday,Morning
6282,6282,7fe36d94-8867-4719-9c62-60b077cf5973,heart,2020-07-05 05:03:00,photo,travel,positive,60,2020,July,5,Sunday,Morning
6283,6283,7fe36d94-8867-4719-9c62-60b077cf5973,interested,2020-10-13 11:32:00,photo,travel,positive,30,2020,October,13,Tuesday,Morning
6284,6284,7fe36d94-8867-4719-9c62-60b077cf5973,want,2020-10-20 19:20:00,photo,travel,positive,70,2020,October,20,Tuesday,Evening
6285,6285,7fe36d94-8867-4719-9c62-60b077cf5973,intrigued,2021-04-09 19:57:00,photo,travel,positive,45,2021,April,9,Friday,Evening
6286,6286,7fe36d94-8867-4719-9c62-60b077cf5973,disgust,2021-02-02 15:26:00,photo,travel,negative,0,2021,February,2,Tuesday,Afternoon
6287,6287,7fe36d94-8867-4719-9c62-60b077cf5973,super love,2021-01-27 05:16:00,photo,travel,positive,75,2021,January,27,Wednesday,Morning
6288,6288,7fe36d94-8867-4719-9c62-60b077cf5973,scared,2020-09-08 07:35:00,photo,travel,negative,15,2020,September,8,Tuesday,Morning
6289,6289,7fe36d94-8867-4719-9c62-60b077cf5973,worried,2020-12-09 04:57:00,photo,travel,negative,12,2020,December,9,Wednesday,Night
6290,6290,7fe36d94-8867-4719-9c62-60b077cf5973,worried,2020-07-22 00:10:00,photo,travel,negative,12,2020,July,22,Wednesday,Night
6291,6291,7fe36d94-8867-4719-9c62-60b077cf5973,like,2020-11-20 10:03:00,photo,travel,positive,50,2020,November,20,Friday,Morning
6292,6292,7fe36d94-8867-4719-9c62-60b077cf5973,interested,2020-06-25 05:37:00,photo,travel,positive,30,2020,June,25,Thursday,Morning
6293,6293,7fe36d94-8867-4719-9c62-60b077cf5973,super love,2020-11-26 13:43:00,photo,travel,positive,75,2020,November,26,Thursday,Afternoon
6294,6294,7fe36d94-8867-4719-9c62-60b077cf5973,adore,2020-11-16 10:46:00,photo,travel,positive,72,2020,November,16,Monday,Morning
6295,6295,7fe36d94-8867-4719-9c62-60b077cf5973,super love,2021-02-19 10:51:00,photo,travel,positive,75,2021,February,19,Friday,Morning
6296,6296,7fe36d94-8867-4719-9c62-60b077cf5973,scared,2020-08-20 05:18:00,photo,travel,negative,15,2020,August,20,Thursday,Morning
6297,6297,7fe36d94-8867-4719-9c62-60b077cf5973,interested,2020-10-14 13:42:00,photo,travel,positive,30,2020,October,14,Wednesday,Afternoon
6298,6298,7fe36d94-8867-4719-9c62-60b077cf5973,adore,2020-12-04 15:51:00,photo,travel,positive,72,2020,December,4,Friday,Afternoon
6299,6299,7fe36d94-8867-4719-9c62-60b077cf5973,dislike,2020-11-18 04:30:00,photo,travel,negative,10,2020,November,18,Wednesday,Night
6300,6300,7fe36d94-8867-4719-9c62-60b077cf5973,want,2021-05-17 07:27:00,photo,travel,positive,70,2021,May,17,Monday,Morning
6301,6301,7fe36d94-8867-4719-9c62-60b077cf5973,adore,2021-02-06 16:09:00,photo,travel,positive,72,2021,February,6,Saturday,Afternoon
6302,6302,7fe36d94-8867-4719-9c62-60b077cf5973,indifferent,2020-12-19 21:42:00,photo,travel,neutral,20,2020,December,19,Saturday,Night
6303,6303,7fe36d94-8867-4719-9c62-60b077cf5973,scared,2021-03-14 01:56:00,photo,travel,negative,15,2021,March,14,Sunday,Night
6304,6304,7fe36d94-8867-4719-9c62-60b077cf5973,hate,2020-07-08 14:12:00,photo,travel,negative,5,2020,July,8,Wednesday,Afternoon
6305,6305,7fe36d94-8867-4719-9c62-60b077cf5973,like,2020-12-11 01:59:00,photo,travel,positive,50,2020,December,11,Friday,Night
6306,6306,7fe36d94-8867-4719-9c62-60b077cf5973,super love,2020-11-30 16:34:00,photo,travel,positive,75,2020,November,30,Monday,Afternoon
6307,6307,7fe36d94-8867-4719-9c62-60b077cf5973,scared,2020-06-23 22:20:00,photo,travel,negative,15,2020,June,23,Tuesday,Night
6308,6308,56df8914-9d42-434d-9612-6bb518dd641e,dislike,2021-05-23 03:43:00,video,fitness,negative,10,2021,May,23,Sunday,Night
6309,6309,56df8914-9d42-434d-9612-6bb518dd641e,intrigued,2020-08-04 08:46:00,video,fitness,positive,45,2020,August,4,Tuesday,Morning
6310,6310,56df8914-9d42-434d-9612-6bb518dd641e,worried,2021-04-09 16:50:00,video,fitness,negative,12,2021,April,9,Friday,Afternoon
6311,6311,56df8914-9d42-434d-9612-6bb518dd641e,super love,2021-04-15 11:37:00,video,fitness,positive,75,2021,April,15,Thursday,Morning
6312,6312,56df8914-9d42-434d-9612-6bb518dd641e,like,2021-02-19 04:10:00,video,fitness,positive,50,2021,February,19,Friday,Night
6313,6313,56df8914-9d42-434d-9612-6bb518dd641e,like,2020-07-22 04:02:00,video,fitness,positive,50,2020,July,22,Wednesday,Night
6314,6314,56df8914-9d42-434d-9612-6bb518dd641e,super love,2021-01-12 08:10:00,video,fitness,positive,75,2021,January,12,Tuesday,Morning
6315,6315,56df8914-9d42-434d-9612-6bb518dd641e,dislike,2020-06-24 07:26:00,video,fitness,negative,10,2020,June,24,Wednesday,Morning
6316,6316,56df8914-9d42-434d-9612-6bb518dd641e,want,2021-05-12 04:19:00,video,fitness,positive,70,2021,May,12,Wednesday,Night
6317,6317,56df8914-9d42-434d-9612-6bb518dd641e,heart,2021-04-19 06:06:00,video,fitness,positive,60,2021,April,19,Monday,Morning
6318,6318,56df8914-9d42-434d-9612-6bb518dd641e,like,2021-02-10 14:23:00,video,fitness,positive,50,2021,February,10,Wednesday,Afternoon
6319,6319,56df8914-9d42-434d-9612-6bb518dd641e,like,2021-05-22 05:40:00,video,fitness,positive,50,2021,May,22,Saturday,Morning
6320,6320,56df8914-9d42-434d-9612-6bb518dd641e,cherish,2020-08-17 15:23:00,video,fitness,positive,70,2020,August,17,Monday,Afternoon
6321,6321,56df8914-9d42-434d-9612-6bb518dd641e,dislike,2020-12-09 03:49:00,video,fitness,negative,10,2020,December,9,Wednesday,Night
6322,6322,56df8914-9d42-434d-9612-6bb518dd641e,disgust,2020-08-27 23:12:00,video,fitness,negative,0,2020,August,27,Thursday,Night
6323,6323,56df8914-9d42-434d-9612-6bb518dd641e,super love,2021-01-16 11:02:00,video,fitness,positive,75,2021,January,16,Saturday,Morning
6324,6324,56df8914-9d42-434d-9612-6bb518dd641e,love,2021-04-13 11:34:00,video,fitness,positive,65,2021,April,13,Tuesday,Morning
6325,6325,56df8914-9d42-434d-9612-6bb518dd641e,hate,2021-03-02 07:05:00,video,fitness,negative,5,2021,March,2,Tuesday,Morning
6326,6326,56df8914-9d42-434d-9612-6bb518dd641e,heart,2020-08-19 22:10:00,video,fitness,positive,60,2020,August,19,Wednesday,Night
6327,6327,56df8914-9d42-434d-9612-6bb518dd641e,worried,2020-09-09 14:52:00,video,fitness,negative,12,2020,September,9,Wednesday,Afternoon
6328,6328,56df8914-9d42-434d-9612-6bb518dd641e,peeking,2021-02-03 23:08:00,video,fitness,neutral,35,2021,February,3,Wednesday,Night
6329,6329,56df8914-9d42-434d-9612-6bb518dd641e,adore,2020-09-10 08:49:00,video,fitness,positive,72,2020,September,10,Thursday,Morning
6330,6330,56df8914-9d42-434d-9612-6bb518dd641e,scared,2021-04-12 04:21:00,video,fitness,negative,15,2021,April,12,Monday,Night
6331,6331,56df8914-9d42-434d-9612-6bb518dd641e,hate,2020-11-20 05:25:00,video,fitness,negative,5,2020,November,20,Friday,Morning
6332,6332,56df8914-9d42-434d-9612-6bb518dd641e,dislike,2021-03-02 17:00:00,video,fitness,negative,10,2021,March,2,Tuesday,Evening
6333,6333,56df8914-9d42-434d-9612-6bb518dd641e,want,2021-04-03 15:46:00,video,fitness,positive,70,2021,April,3,Saturday,Afternoon
6334,6334,56df8914-9d42-434d-9612-6bb518dd641e,scared,2021-01-27 07:48:00,video,fitness,negative,15,2021,January,27,Wednesday,Morning
6335,6335,78461336-26e2-4d0c-ab9a-fefbe419a8dd,interested,2021-02-03 02:21:00,video,dogs,positive,30,2021,February,3,Wednesday,Night
6336,6336,78461336-26e2-4d0c-ab9a-fefbe419a8dd,indifferent,2020-09-03 09:07:00,video,dogs,neutral,20,2020,September,3,Thursday,Morning
6337,6337,78461336-26e2-4d0c-ab9a-fefbe419a8dd,like,2020-07-02 16:01:00,video,dogs,positive,50,2020,July,2,Thursday,Afternoon
6338,6338,78461336-26e2-4d0c-ab9a-fefbe419a8dd,want,2021-01-23 15:01:00,video,dogs,positive,70,2021,January,23,Saturday,Afternoon
6339,6339,78461336-26e2-4d0c-ab9a-fefbe419a8dd,cherish,2020-11-08 10:41:00,video,dogs,positive,70,2020,November,8,Sunday,Morning
6340,6340,78461336-26e2-4d0c-ab9a-fefbe419a8dd,disgust,2020-07-27 05:42:00,video,dogs,negative,0,2020,July,27,Monday,Morning
6341,6341,78461336-26e2-4d0c-ab9a-fefbe419a8dd,interested,2021-06-02 22:21:00,video,dogs,positive,30,2021,June,2,Wednesday,Night
6342,6342,78461336-26e2-4d0c-ab9a-fefbe419a8dd,interested,2021-02-16 02:05:00,video,dogs,positive,30,2021,February,16,Tuesday,Night
6343,6343,78461336-26e2-4d0c-ab9a-fefbe419a8dd,interested,2021-01-22 19:50:00,video,dogs,positive,30,2021,January,22,Friday,Evening
6344,6344,78461336-26e2-4d0c-ab9a-fefbe419a8dd,like,2021-05-17 20:55:00,video,dogs,positive,50,2021,May,17,Monday,Evening
6345,6345,78461336-26e2-4d0c-ab9a-fefbe419a8dd,interested,2021-01-21 00:52:00,video,dogs,positive,30,2021,January,21,Thursday,Night
6346,6346,78461336-26e2-4d0c-ab9a-fefbe419a8dd,worried,2020-06-29 08:01:00,video,dogs,negative,12,2020,June,29,Monday,Morning
6347,6347,78461336-26e2-4d0c-ab9a-fefbe419a8dd,disgust,2021-02-25 03:14:00,video,dogs,negative,0,2021,February,25,Thursday,Night
6348,6348,78461336-26e2-4d0c-ab9a-fefbe419a8dd,heart,2021-05-28 08:51:00,video,dogs,positive,60,2021,May,28,Friday,Morning
6349,6349,78461336-26e2-4d0c-ab9a-fefbe419a8dd,scared,2021-02-26 03:14:00,video,dogs,negative,15,2021,February,26,Friday,Night
6350,6350,25934ec0-56f1-4fe1-9bf4-d46b1dbb42ad,peeking,2020-10-12 04:43:00,photo,veganism,neutral,35,2020,October,12,Monday,Night
6351,6351,25934ec0-56f1-4fe1-9bf4-d46b1dbb42ad,interested,2021-02-18 01:30:00,photo,veganism,positive,30,2021,February,18,Thursday,Night
6352,6352,25934ec0-56f1-4fe1-9bf4-d46b1dbb42ad,hate,2021-03-28 23:04:00,photo,veganism,negative,5,2021,March,28,Sunday,Night
